City,Time,Temperature,Condition
Houston,2023-10-13 21:00:00,31.51,scattered clouds
Houston,2023-10-14 00:00:00,30.2,scattered clouds
Houston,2023-10-14 03:00:00,27.92,broken clouds
Houston,2023-10-14 06:00:00,24.94,broken clouds
Houston,2023-10-14 09:00:00,21.87,broken clouds
Houston,2023-10-14 12:00:00,19.35,scattered clouds
Houston,2023-10-14 15:00:00,20.77,clear sky
Houston,2023-10-14 18:00:00,25.03,clear sky
Houston,2023-10-14 21:00:00,26.69,clear sky
Houston,2023-10-15 00:00:00,23.65,clear sky
Houston,2023-10-15 03:00:00,21.2,clear sky
Houston,2023-10-15 06:00:00,19.29,clear sky
Houston,2023-10-15 09:00:00,17.93,clear sky
Houston,2023-10-15 12:00:00,16.62,clear sky
Houston,2023-10-15 15:00:00,18.7,clear sky
Houston,2023-10-15 18:00:00,22.74,clear sky
Houston,2023-10-15 21:00:00,24.32,clear sky
Houston,2023-10-16 00:00:00,21.44,clear sky
Houston,2023-10-16 03:00:00,19.27,clear sky
Houston,2023-10-16 06:00:00,17.14,clear sky
Houston,2023-10-16 09:00:00,15.44,clear sky
Houston,2023-10-16 12:00:00,14.18,clear sky
Houston,2023-10-16 15:00:00,16.84,clear sky
Houston,2023-10-16 18:00:00,20.68,clear sky
Houston,2023-10-16 21:00:00,22.63,clear sky
Houston,2023-10-17 00:00:00,20.18,clear sky
Houston,2023-10-17 03:00:00,18.04,clear sky
Houston,2023-10-17 06:00:00,16.34,clear sky
Houston,2023-10-17 09:00:00,15.09,clear sky
Houston,2023-10-17 12:00:00,14.2,clear sky
Houston,2023-10-17 15:00:00,18.06,clear sky
Houston,2023-10-17 18:00:00,23.26,clear sky
Houston,2023-10-17 21:00:00,24.45,clear sky
Houston,2023-10-18 00:00:00,21.43,clear sky
Houston,2023-10-18 03:00:00,18.84,clear sky
Houston,2023-10-18 06:00:00,17.81,clear sky
Houston,2023-10-18 09:00:00,17.19,clear sky
Houston,2023-10-18 12:00:00,16.99,clear sky
Houston,2023-10-18 15:00:00,22.06,few clouds
Houston,2023-10-18 18:00:00,26.71,broken clouds
